;date;price;hashrate;difficulty;reward;e_min_005;e_min_010;e_min_014;c_btc_005;c_btc_010;c_btc_014;max_k_antminer;max_k_bitfury;min_consumption;max_consumption_005;max_consumption_014;mixed_consumption_005;c_btc_005_max_e;c_btc_010_max_e;c_btc_014_max_e
3567;26/03/2009;0.0;5.61726046815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3566;27/03/2009;0.0;5.46812965926e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3565;28/03/2009;0.0;5.915522085930001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3564;29/03/2009;0.0;5.567550198519999e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3563;30/03/2009;0.0;6.2137837037e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3562;31/03/2009;0.0;5.61726046815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3561;01/04/2009;0.0;5.318998850369999e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3560;02/04/2009;0.0;5.9652323555599996e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3559;03/04/2009;0.0;5.61726046815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3558;04/04/2009;0.0;5.61726046815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3557;05/04/2009;0.0;6.41262478222e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3556;06/04/2009;0.0;5.71668100741e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3555;07/04/2009;0.0;4.92131669333e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3554;08/04/2009;0.0;5.169868041480001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3553;09/04/2009;0.0;4.92131669333e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3552;10/04/2009;0.0;5.12015777185e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3551;11/04/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3550;12/04/2009;0.0;5.71668100741e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3549;13/04/2009;0.0;5.71668100741e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3548;14/04/2009;0.0;6.31320424296e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3547;15/04/2009;0.0;5.567550198519999e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3546;16/04/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3545;17/04/2009;0.0;5.71668100741e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3544;18/04/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3543;19/04/2009;0.0;5.915522085930001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3542;20/04/2009;0.0;5.81610154667e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3541;21/04/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3540;22/04/2009;0.0;6.01494262519e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3539;23/04/2009;0.0;3.97682157037e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3538;24/04/2009;0.0;5.61726046815e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3537;25/04/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3536;26/04/2009;0.0;5.418419389630001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3535;27/04/2009;0.0;5.21957831111e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3534;28/04/2009;0.0;5.81610154667e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
